epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,147.013,0.77799,1.65119,0.23942,1.11731,0.97581,0.84596,0.14286,0.37923,0.19179,0.8689,0.14286,0.18798,0.09074,2.00528,8.28578,0.55307,2.92912,1.97974,0.000320922,0.000320922,0.000320922
83,148.699,0.65511,1.93896,0.22707,1.20171,0.94713,0.84596,0.14286,0.37923,0.19179,0.8689,0.14286,0.18798,0.09074,2.00528,8.28578,0.55307,2.92912,1.97974,0.000308648,0.000308648,0.000308648
84,150.489,0.81504,2.84501,0.28265,1.17621,1.12902,0.75856,0.14286,0.3896,0.18166,0.79016,0.14286,0.18798,0.09544,2.03348,8.20959,0.55444,2.87976,1.97745,0.000295978,0.000295978,0.000295978
85,152.161,0.66994,2.60431,0.28138,1.19445,0.9914,0.75856,0.14286,0.3896,0.18166,0.79016,0.14286,0.18798,0.09544,2.03348,8.20959,0.55444,2.87976,1.97745,0.000282912,0.000282912,0.000282912
86,153.817,1.02134,3.04858,0.28445,1.49881,1.22174,0.75856,0.14286,0.3896,0.18166,0.79016,0.14286,0.18798,0.09544,2.03348,8.20959,0.55444,2.87976,1.97745,0.00026945,0.00026945,0.00026945
87,155.477,0.66793,2.11762,0.23852,1.063,1.06916,0.75856,0.14286,0.3896,0.18166,0.79016,0.14286,0.18798,0.09544,2.03348,8.20959,0.55444,2.87976,1.97745,0.000255592,0.000255592,0.000255592
88,157.266,0.66982,2.64854,0.3728,0.99891,0.90849,1,0.20163,0.46208,0.22158,0.89149,0.14286,0.18798,0.09094,2.0285,8.12082,0.57195,2.84933,1.9663,0.000241338,0.000241338,0.000241338
89,159.004,0.77452,3.03857,0.26499,1.2266,1.05122,1,0.20163,0.46208,0.22158,0.89149,0.14286,0.18798,0.09094,2.0285,8.12082,0.57195,2.84933,1.9663,0.000226688,0.000226688,0.000226688
90,160.665,0.74091,2.31727,0.30859,1.00359,0.9643,1,0.20163,0.46208,0.22158,0.89149,0.14286,0.18798,0.09094,2.0285,8.12082,0.57195,2.84933,1.9663,0.000211642,0.000211642,0.000211642
91,162.325,0.80444,1.69364,0.29101,1.34525,0.84305,1,0.20163,0.46208,0.22158,0.89149,0.14286,0.18798,0.09094,2.0285,8.12082,0.57195,2.84933,1.9663,0.0001962,0.0001962,0.0001962
92,164.061,0.51565,1.45237,0.22353,1.30093,0.81254,1,0.20679,0.51228,0.21384,0.91997,0.14286,0.14571,0.07573,2.06472,8.0987,0.5689,2.80813,2.00921,0.000180362,0.000180362,0.000180362
93,165.988,0.61176,1.40474,0.25625,1.19166,0.93042,1,0.20679,0.51228,0.21384,0.91997,0.14286,0.14571,0.07573,2.06472,8.0987,0.5689,2.80813,2.00921,0.000164128,0.000164128,0.000164128
94,167.692,0.74028,2.06177,0.23648,1.53249,0.97974,1,0.20679,0.51228,0.21384,0.91997,0.14286,0.14571,0.07573,2.06472,8.0987,0.5689,2.80813,2.00921,0.000147498,0.000147498,0.000147498
95,169.41,0.7142,1.73719,0.30302,1.38434,0.98627,1,0.20679,0.51228,0.21384,0.91997,0.14286,0.14571,0.07573,2.06472,8.0987,0.5689,2.80813,2.00921,0.000130472,0.000130472,0.000130472
96,171.081,0.61981,1.65782,0.26654,1.33694,0.95258,1,0.2109,0.51675,0.21167,0.9388,0.14286,0.16507,0.07016,2.07316,8.09081,0.58437,2.78675,2.00863,0.00011305,0.00011305,0.00011305
97,172.679,0.5964,1.40143,0.24033,1.28189,0.86348,1,0.2109,0.51675,0.21167,0.9388,0.14286,0.16507,0.07016,2.07316,8.09081,0.58437,2.78675,2.00863,9.5232e-05,9.5232e-05,9.5232e-05
98,174.295,0.70859,1.33231,0.25038,1.33981,1.06341,1,0.2109,0.51675,0.21167,0.9388,0.14286,0.16507,0.07016,2.07316,8.09081,0.58437,2.78675,2.00863,7.7018e-05,7.7018e-05,7.7018e-05
99,175.95,0.60508,1.3071,0.25229,1.22593,0.83855,1,0.2109,0.51675,0.21167,0.9388,0.14286,0.16507,0.07016,2.07316,8.09081,0.58437,2.78675,2.00863,5.8408e-05,5.8408e-05,5.8408e-05
100,177.643,0.54492,1.27959,0.21358,1.19563,0.82736,1,0.21348,0.52704,0.24137,1,0.20562,0.21598,0.08228,2.04002,8.05121,0.57913,2.74998,1.9641,3.9402e-05,3.9402e-05,3.9402e-05
